run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,vix_ema_period,ema_period_calm,atr_stop_calm,ema_period_choppy,atr_stop_choppy,risk_bull,allocation_defense,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,vix_symbol
107,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.02,0.6,12,26,9,14,VIX
108,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.025,0.6,12,26,9,14,VIX
109,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.015,0.6,12,26,9,14,VIX
110,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.02,0.6,12,26,9,14,VIX
111,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.025,0.6,12,26,9,14,VIX
112,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.015,0.6,12,26,9,14,VIX
113,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.02,0.6,12,26,9,14,VIX
114,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.025,0.6,12,26,9,14,VIX
115,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.015,0.6,12,26,9,14,VIX
116,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.02,0.6,12,26,9,14,VIX
117,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.025,0.6,12,26,9,14,VIX
118,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.0,0.015,0.6,12,26,9,14,VIX
119,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.0,0.02,0.6,12,26,9,14,VIX
120,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.0,0.025,0.6,12,26,9,14,VIX
121,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.5,0.015,0.6,12,26,9,14,VIX
122,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.5,0.02,0.6,12,26,9,14,VIX
123,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,2.5,0.025,0.6,12,26,9,14,VIX
124,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,1.0,0.015,0.6,12,26,9,14,VIX
125,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,1.0,0.02,0.6,12,26,9,14,VIX
126,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,75,1.0,0.025,0.6,12,26,9,14,VIX
127,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.0,0.015,0.6,12,26,9,14,VIX
128,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.0,0.02,0.6,12,26,9,14,VIX
129,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.0,0.025,0.6,12,26,9,14,VIX
130,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.5,0.015,0.6,12,26,9,14,VIX
131,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.5,0.02,0.6,12,26,9,14,VIX
132,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,2.5,0.025,0.6,12,26,9,14,VIX
133,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,1.0,0.015,0.6,12,26,9,14,VIX
134,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,1.0,0.02,0.6,12,26,9,14,VIX
135,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,100,1.0,0.025,0.6,12,26,9,14,VIX
136,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.0,0.015,0.6,12,26,9,14,VIX
137,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.0,0.02,0.6,12,26,9,14,VIX
138,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.0,0.025,0.6,12,26,9,14,VIX
139,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.5,0.015,0.6,12,26,9,14,VIX
140,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.5,0.02,0.6,12,26,9,14,VIX
141,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,2.5,0.025,0.6,12,26,9,14,VIX
142,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,1.0,0.015,0.6,12,26,9,14,VIX
143,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,1.0,0.02,0.6,12,26,9,14,VIX
144,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,50,1.0,0.025,0.6,12,26,9,14,VIX
145,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.0,0.015,0.6,12,26,9,14,VIX
146,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.0,0.02,0.6,12,26,9,14,VIX
147,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.0,0.025,0.6,12,26,9,14,VIX
148,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.5,0.015,0.6,12,26,9,14,VIX
149,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.5,0.02,0.6,12,26,9,14,VIX
150,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,2.5,0.025,0.6,12,26,9,14,VIX
151,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,1.0,0.015,0.6,12,26,9,14,VIX
152,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,1.0,0.02,0.6,12,26,9,14,VIX
153,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,75,1.0,0.025,0.6,12,26,9,14,VIX
154,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.0,0.015,0.6,12,26,9,14,VIX
155,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.0,0.02,0.6,12,26,9,14,VIX
156,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.0,0.025,0.6,12,26,9,14,VIX
157,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.5,0.015,0.6,12,26,9,14,VIX
158,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.5,0.02,0.6,12,26,9,14,VIX
159,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,2.5,0.025,0.6,12,26,9,14,VIX
160,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,1.0,0.015,0.6,12,26,9,14,VIX
161,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,1.0,0.02,0.6,12,26,9,14,VIX
162,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,1.0,100,1.0,0.025,0.6,12,26,9,14,VIX
163,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.0,0.015,0.6,12,26,9,14,VIX
164,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.0,0.02,0.6,12,26,9,14,VIX
165,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.0,0.025,0.6,12,26,9,14,VIX
166,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.5,0.015,0.6,12,26,9,14,VIX
167,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.5,0.02,0.6,12,26,9,14,VIX
168,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,2.5,0.025,0.6,12,26,9,14,VIX
169,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,1.0,0.015,0.6,12,26,9,14,VIX
170,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,1.0,0.02,0.6,12,26,9,14,VIX
171,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,50,1.0,0.025,0.6,12,26,9,14,VIX
172,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.0,0.015,0.6,12,26,9,14,VIX
173,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.0,0.02,0.6,12,26,9,14,VIX
174,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.0,0.025,0.6,12,26,9,14,VIX
175,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.5,0.015,0.6,12,26,9,14,VIX
176,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.5,0.02,0.6,12,26,9,14,VIX
177,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,2.5,0.025,0.6,12,26,9,14,VIX
178,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,1.0,0.015,0.6,12,26,9,14,VIX
179,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,1.0,0.02,0.6,12,26,9,14,VIX
180,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,75,1.0,0.025,0.6,12,26,9,14,VIX
181,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.0,0.015,0.6,12,26,9,14,VIX
182,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.0,0.02,0.6,12,26,9,14,VIX
183,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.0,0.025,0.6,12,26,9,14,VIX
184,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.5,0.015,0.6,12,26,9,14,VIX
185,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.5,0.02,0.6,12,26,9,14,VIX
186,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,2.5,0.025,0.6,12,26,9,14,VIX
187,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,1.0,0.015,0.6,12,26,9,14,VIX
188,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,1.0,0.02,0.6,12,26,9,14,VIX
189,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.5,100,1.0,0.025,0.6,12,26,9,14,VIX
190,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.0,0.015,0.6,12,26,9,14,VIX
191,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.0,0.02,0.6,12,26,9,14,VIX
192,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.0,0.025,0.6,12,26,9,14,VIX
193,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.5,0.015,0.6,12,26,9,14,VIX
194,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.5,0.02,0.6,12,26,9,14,VIX
195,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,2.5,0.025,0.6,12,26,9,14,VIX
196,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,1.0,0.015,0.6,12,26,9,14,VIX
197,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,1.0,0.02,0.6,12,26,9,14,VIX
198,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,50,1.0,0.025,0.6,12,26,9,14,VIX
199,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.0,0.015,0.6,12,26,9,14,VIX
200,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.0,0.02,0.6,12,26,9,14,VIX
201,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.0,0.025,0.6,12,26,9,14,VIX
202,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.5,0.015,0.6,12,26,9,14,VIX
203,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.5,0.02,0.6,12,26,9,14,VIX
204,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,2.5,0.025,0.6,12,26,9,14,VIX
205,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,100,2.0,75,1.0,0.015,0.6,12,26,9,14,VIX
