Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2020-04-01,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2020-04-02,10000.00,0.0000,0.0000,0.0000,10000.00,9858.07,0,0.00,0,0.00
2020-04-05,10000.00,0.0000,0.0000,0.0000,10000.00,10562.87,0,0.00,0,0.00
2020-04-06,10000.00,0.0000,0.0000,0.0000,10000.00,10558.57,0,0.00,0,0.00
2020-04-07,10000.00,0.0000,0.0000,0.0000,10000.00,10782.75,0,0.00,0,0.00
2020-04-08,10000.00,0.0000,0.0000,0.0000,10000.00,10798.34,0,0.00,0,0.00
2020-04-12,10000.00,0.0000,0.0000,0.0000,10000.00,10915.00,0,0.00,0,0.00
2020-04-13,10000.00,0.0000,0.0000,0.0000,10000.00,11389.71,0,0.00,0,0.00
2020-04-14,10000.00,0.0000,0.0000,0.0000,10000.00,11259.07,0,0.00,0,0.00
2020-04-15,10000.00,0.0000,0.0000,0.0000,10000.00,11464.44,0,0.00,0,0.00
2020-04-16,10000.00,0.0000,0.0000,0.0000,10000.00,11574.11,0,0.00,0,0.00
2020-04-19,10000.00,0.0000,0.0000,0.0000,10000.00,11437.02,0,0.00,0,0.00
2020-04-20,10000.00,0.0000,0.0000,0.0000,10000.00,11015.00,0,0.00,0,0.00
2020-04-21,10000.00,0.0000,0.0000,0.0000,10000.00,11341.86,0,0.00,0,0.00
2020-04-22,10000.00,0.0000,0.0000,0.0000,10000.00,11317.67,0,0.00,0,0.00
2020-04-23,10000.00,0.0000,0.0000,0.0000,10000.00,11496.16,0,0.00,0,0.00
2020-04-26,10000.00,0.0000,0.0000,0.0000,10000.00,11588.62,0,0.00,0,0.00
2020-04-27,9995.45,-0.0455,-0.0455,-0.0455,7158.14,11370.36,0,0.00,171,0.00
2020-04-28,9841.98,-1.5354,-1.5802,-1.5802,7158.14,11773.56,0,0.00,171,2683.84
2020-04-29,10121.14,2.8364,1.2114,1.2114,7158.14,11768.72,0,0.00,171,2963.00
2020-04-30,10140.80,0.1943,1.4080,1.4080,7158.14,11437.02,0,0.00,171,2982.67
2020-05-03,9862.68,-2.7426,-1.3732,-1.3732,4051.74,11570.35,27,0.00,0,0.00
2020-05-04,9928.56,0.6680,-0.7144,-0.7144,4051.74,11701.52,27,5876.82,0,0.00
2020-05-05,9964.74,0.3644,-0.3526,-0.3526,4051.74,11773.56,27,5913.00,0,0.00
2020-05-06,10029.82,0.6531,0.2982,0.2982,6985.46,11925.17,0,0.00,176,0.00
2020-05-07,10148.62,1.1845,1.4862,1.4862,6985.46,12088.60,0,0.00,176,3163.16
2020-05-10,10276.22,1.2573,2.7622,2.7622,6985.46,12196.66,0,0.00,176,3290.76
2020-05-11,10358.06,0.7964,3.5806,3.5806,6985.46,11941.29,0,0.00,176,3372.60
2020-05-12,10146.29,-2.0444,1.4629,1.4629,4224.11,11791.84,27,0.00,0,0.00
2020-05-13,10213.52,0.6626,2.1352,2.1352,4224.11,11925.70,27,5989.41,0,0.00
2020-05-14,10252.40,0.3807,2.5240,2.5240,4224.11,12003.12,27,6028.29,0,0.00
